qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
sequence,database,91.111,45,4,0,2,46,806,850,3.90e-12,62.1
sequence,database,100.000,12,0,0,5,16,61868,61857,1.8,23.3
sequence,database,93.333,15,1,0,14,28,99679,99665,1.8,23.3
sequence,database,93.333,15,1,0,20,34,322212,322198,1.8,23.3
sequence,database,100.000,12,0,0,28,39,551342,551331,1.8,23.3
sequence,database,93.750,16,0,1,19,34,581099,581113,1.8,23.3
sequence,database,100.000,11,0,0,28,38,39402,39412,6.6,21.4
sequence,database,100.000,11,0,0,7,17,143321,143311,6.6,21.4
sequence,database,100.000,11,0,0,24,34,390942,390952,6.6,21.4
sequence,database,100.000,11,0,0,32,42,400788,400778,6.6,21.4
sequence,database,100.000,11,0,0,9,19,484875,484885,6.6,21.4
sequence,database,100.000,11,0,0,19,29,527160,527170,6.6,21.4
sequence,database,100.000,11,0,0,9,19,540405,540395,6.6,21.4
